R (ang),V=0,V=1,V=2,V=3,V=4,V=5,V=6,V=7,V=8,V=9,E (wavenumbers),,,,,,,,,,
1.904544,0.29715222,-0.70185617,1.11389823,-1.33857235,1.22854085,-0.77332251,0.11484336,0.51365265,-0.89484484,0.91624398,,,,,,,,,,,
1.910213,0.33911517,-0.77674588,1.18761129,-1.35850318,1.15460659,-0.6071437,-0.09269591,0.68299511,-0.95498416,0.83821616,,,,,,,,,,,
1.915882,0.38495022,-0.85399872,1.25516876,-1.36043257,1.05624239,-0.42342795,-0.29680021,0.82224396,-0.9661285,0.71124653,,,,,,,,,,,
1.921551,0.43468124,-0.93274317,1.31459644,-1.34257773,0.93416955,-0.22694799,-0.48962815,0.92422052,-0.92647428,0.54184668,,,,,,,,,,,
1.927220,0.48827671,-1.01197059,1.36389631,-1.30355393,0.78998874,-0.02336732,-0.66328722,0.98318579,-0.83698626,0.33947551,,,,,,,,,,,
1.932889,0.5456442,-1.09054452,1.40110387,-1.24246492,0.62620155,0.18093707,-0.81022991,0.99526894,-0.70152067,0.11607263,,,,,,,,,,,
1.938558,0.60662589,-1.16721462,1.42435035,-1.15898319,0.44619329,0.37910428,-0.92366438,0.95881461,-0.52676278,-0.11462106,,,,,,,,,,,
1.944227,0.67099517,-1.24063544,1.43192781,-1.0534152,0.25417421,0.56406367,-0.9979559,0.87461944,-0.32196919,-0.33791857,,,,,,,,,,,
1.949896,0.73845457,-1.30938953,1.422355,-0.92674763,0.05507838,0.72884211,-1.02899387,0.74603328,-0.09851905,-0.5391629,,,,,,,,,,,
1.955565,0.80863513,-1.37201477,1.39444137,-0.78067073,-0.1455784,0.86688999,-1.01449926,0.5789086,0.13070629,-0.70475561,,,,,,,,,,,
1.961234,0.88109749,-1.42703532,1.34734688,-0.61757603,-0.34187778,0.97240962,-0.95424963,0.38139113,0.35208139,-0.82316067,,,,,,,,,,,
1.966903,0.9553349,-1.47299579,1.28063517,-0.44052656,-0.52770938,1.0406683,-0.85020263,0.16355532,0.55208609,-0.88580363,,,,,,,,,,,
1.972572,1.03077816,-1.50849759,1.19431723,-0.25319857,-0.69700468,1.0682777,-0.70650354,-0.06310054,0.71818977,-0.88778992,,,,,,,,,,,
1.978241,1.10680235,-1.53223608,1.08888311,-0.05979508,-0.84398413,1.05342201,-0.52936931,-0.28627408,0.83970815,-0.82837657,,,,,,,,,,,
1.983910,1.18273532,-1.54303752,0.96531971,0.13506666,-0.96340642,0.99601907,-0.32684911,-0.49355801,0.90856867,-0.71114896,,,,,,,,,,,
1.989579,1.25786767,-1.5398945,0.82511303,0.32649052,-1.05080756,0.89780205,-0.10846962,-0.67317599,0.91992456,-0.54387578,,,,,,,,,,,
1.995248,1.33146414,-1.52199857,0.67023402,0.50945511,-1.10271763,0.76231306,0.11521907,-0.81470734,0.87256638,-0.3380414,,,,,,,,,,,
2.000917,1.40277609,-1.488769,0.50310775,0.67897991,-1.11684355,0.5948049,0.33317371,-0.90975211,0.76909329,-0.10808114,,,,,,,,,,,
2.006586,1.47105472,-1.43987645,0.32656635,0.83029739,-1.09220742,0.40205252,0.53443509,-0.95248944,0.61582306,0.12962952,,,,,,,,,,,
2.012255,1.53556473,-1.37526068,0.1437867,0.95902404,-1.02923198,0.19208082,0.70871907,-0.94008863,0.42243943,0.35795868,,,,,,,,,,,
2.017924,1.59559794,-1.29514153,-0.0417852,1.06132301,-0.92976723,-0.02617919,0.84698614,-0.87294084,0.20139494,0.56028517,,,,,,,,,,,
2.023593,1.65048665,-1.20002258,-0.22652092,1.13405122,-0.79705498,-0.24328944,0.9419545,-0.75469139,-0.03289283,0.72175037,,,,,,,,,,,
2.029262,1.69961623,-1.09068746,-0.40670437,1.1748845,-0.63563154,-0.44973913,0.98852442,-0.59206585,-0.26499767,0.83039501,,,,,,,,,,,
2.034931,1.74243673,-0.96818854,-0.57863143,1.18241498,-0.45117169,-0.63639163,0.98408665,-0.39449739,-0.47952673,0.87808864,,,,,,,,,,,
2.040600,1.77847305,-0.8338286,-0.73871098,1.15621629,-0.25028006,-0.79492051,0.92869431,-0.17357679,-0.66217361,0.86117523,,,,,,,,,,,
2.046269,1.80733363,-0.68913564,-0.88356373,1.09687341,-0.04023926,-0.91821123,0.82508599,0.05764084,-0.80070611,0.78078015,,,,,,,,,,,
2.051938,1.82871708,-0.53583194,-1.01011539,1.00597575,0.17127436,-1.0007068,0.67855726,0.28542848,-0.88581632,0.64275128,,,,,,,,,,,
2.057607,1.84241704,-0.37579805,-1.11568091,0.88607337,0.37649398,-1.03867893,0.49668677,0.49622722,-0.91177044,0.45723625,,,,,,,,,,,
2.063276,1.84832497,-0.21103305,-1.19803706,0.74059838,0.56787101,-1.03041001,0.28893275,0.67747918,-0.87681066,0.23792774,,,,,,,,,,,
2.068945,1.84643131,-0.04361213,-1.25548101,0.57375455,0.73837506,-0.97627659,0.06612302,0.81839881,-0.78327951,0.00103522,,,,,,,,,,,
2.074614,1.83682445,0.12435732,-1.28687295,0.39037956,0.88177154,-0.8787298,-0.16013148,0.91063243,-0.63745773,-0.23593617,,,,,,,,,,,
2.080283,1.81968773,0.29077988,-1.29166146,0.19578542,0.99286458,-0.74217434,-0.37806521,0.94876326,-0.44912774,-0.45550374,,,,,,,,,,,
2.085952,1.79529443,0.45361516,-1.26989097,-0.00441637,1.06769435,-0.57275284,-0.57639192,0.93062998,-0.23089529,-0.6415187,,,,,,,,,,,
2.091622,1.7640011,0.61091859,-1.22219146,-0.20449778,1.10368065,-0.37804775,-0.74490689,0.85743983,0.00268075,-0.78036902,,,,,,,,,,,
2.097291,1.72623928,0.76087879,-1.14975119,-0.39879819,1.09970718,-0.16671717,-0.87502328,0.73367084,0.2360867,-0.86198088,,,,,,,,,,,
2.102960,1.68250601,0.90185054,-1.05427367,-0.58190216,1.05614385,0.05191588,-0.96021273,0.56677237,0.45390862,-0.88054335,,,,,,,,,,,
2.108629,1.63335331,1.03238256,-0.93792108,-0.74880428,0.97480767,0.26829895,-0.9963266,0.366686,0.64186761,-0.83490371,,,,,,,,,,,
2.114298,1.57937707,1.15123967,-0.80324617,-0.89505539,0.85886542,0.47308803,-0.98178208,0.14522049,0.78776382,-0.72860791,,,,,,,,,,,
2.119967,1.52120555,1.25741873,-0.65311558,-1.01688515,0.71268427,0.6575658,-0.91760559,-0.08467696,0.88226465,-0.56958865,,,,,,,,,,,
2.125636,1.45948783,1.35015839,-0.4906272,-1.11129731,0.54163835,0.81402019,-0.80733472,-0.3097049,0.91948556,-0.36953131,,,,,,,,,,,
2.131305,1.39488244,1.42894264,-0.3190247,-1.17613519,0.35188122,0.9360656,-0.65678783,-0.516997,0.89732782,-0.1429722,,,,,,,,,,,
2.136974,1.32804643,1.49349833,-0.14161189,-1.21011629,0.15009542,1.0188932,-0.47371837,-0.69486737,0.8175558,0.09379698,,,,,,,,,,,
2.142643,1.25962517,1.54378716,0.03833015,-1.21283625,-0.05676945,1.05944063,-0.26737654,-0.83346714,0.68561543,0.32393185,,,,,,,,,,,
