R,GS,1 3_,2 3_,3 3_,4 3_,1_2,1_3,2_3,3_4
10.27203001,-1.056007319,-1.024528105,21867.80312,21865.88276,32066.48203,0,0,6.46E-50,0
10.27769904,-1.052517266,-1.021142088,21867.80268,21865.88867,32066.49723,0,0,5.41E-50,0
10.28336807,-1.049040662,-1.01776912,21867.80224,21865.89455,32066.51237,0,0,4.53E-50,0
10.2890371,-1.045577448,-1.014409144,21867.8018,21865.90041,32066.52745,0,0,3.79E-50,0
10.29470613,-1.042127565,-1.011062101,21867.80137,21865.90625,32066.54247,0,0,3.17E-50,0
10.30037516,-1.038690956,-1.007727936,21867.80094,21865.91207,32066.55743,0,0,2.65E-50,0
10.30604419,-1.03526756,-1.00440659,21867.8005,21865.91786,32066.57234,0,0,2.22E-50,0
10.31171321,-1.031857321,-1.001098009,21867.80007,21865.92363,32066.58718,0,0,1.85E-50,0
10.31738224,-1.028460181,-0.997802137,21867.79965,21865.92938,32066.60198,0,0,1.55E-50,0
10.32305127,-1.025076082,-0.994518916,21867.79922,21865.93511,32066.61671,0,0,1.30E-50,0
10.3287203,-1.021704966,-0.991248293,21867.79879,21865.94082,32066.63139,0,0,1.08E-50,0
10.33438933,-1.018346778,-0.987990211,21867.79837,21865.9465,32066.64601,0,0,9.06E-51,0
10.34005836,-1.01500146,-0.984744616,21867.79795,21865.95216,32066.66058,0,0,7.57E-51,0
10.34572739,-1.011668957,-0.981511453,21867.79753,21865.9578,32066.67509,0,0,6.33E-51,0
10.35139642,-1.008349211,-0.978290668,21867.79711,21865.96342,32066.68954,0,0,5.29E-51,0
10.35706544,-1.005042168,-0.975082206,21867.79669,21865.96902,32066.70394,0,0,4.42E-51,0
10.36273447,-1.001747771,-0.971886015,21867.79628,21865.97459,32066.71828,0,0,3.69E-51,0
